cue,response,human1,human2,frequency,n
accumulation,collecting,I,I-cont,20,30
accumulation,over time,S,S-time,15,30
accumulation,of snow,T,T-sub,13,30
accumulation,build up,T,T-syn,10,30
accumulation,hoarding,I,I-cont,10,30
accumulation,too much,I,I-cont,9,30
accumulation,gathering of things,T,T-syn,8,30
accumulation,pile,I,I-cont,8,30
accumulation,things,T,T-sub,8,30
accumulation,adding,I,I-cont,8,30
accumulation,grouping,I,I-cont,6,30
accumulation,data,T,T-sub,6,30
accumulation,quantity,I,I-cont,6,30
accumulation,money,T,T-sub,5,30
accumulation,objects,T,T-sub,5,30
accumulation,junk,T,T-sub,5,30
air,breathing,S,S-fun,27,30
air,oxygen,E,E-comp,22,30
air,life,I,I-cont,18,30
air,wind,T,T-sub,18,30
air,fresh,E,E-perc,18,30
air,clean,E,E-perc,10,30
air,lung,S,S-obj,8,30
air,trees,S,S-obj,7,30
air,pollution,S,S-obj,7,30
air,earth,S,S-loc,7,30
air,rain,S,S-obj,7,30
air,atmosphere,T,T-syn,6,30
air,sky,S,S-loc,5,30
air,gas,T,T-sup,5,30
air,purity,E,E-perc,5,30
air,nature,E,E-whol,5,30
airline,company,T,T-sup,27,30
airline,airplanes,E,E-comp,19,30
airline,airport,S,S-loc,16,30
airline,planes,E,E-comp,10,30
airline,Delta,T,T-sub,7,30
airline,Lufthansa,T,T-sub,6,30
airline,American,T,T-sub,6,30
airline,flying,S,S-act,6,30
airplane,travel,S,S-fun,21,30
airplane,pilot,S,S-par,18,30
airplane,fast,E,E-sys,11,30
airplane,wings,E,E-comp,10,30
airplane,transportation,S,S-fun,9,30
airplane,engine,E,E-comp,9,30
airplane,flight,E,E-beh,8,30
airplane,flying,E,E-beh,8,30
airplane,airport,S,S-loc,7,30
airplane,uncomfortable seats,I,I-eval,6,30
airplane,vacation,S,S-time,6,30
airplane,large,E,E-perc,6,30
airplane,sky,S,S-loc,5,30
alcohol,wine,T,T-sub,22,30
alcohol,beer,T,T-sub,17,30
alcohol,drinking,S,S-act,15,30
alcohol,drunk,I,I-cont,10,30
alcohol,party,S,S-time,6,30
alcohol,dinner,S,S-time,6,30
alcohol,fun,I,I-eval,5,30
alcohol,alcoholism,I,I-cont,5,30
alcohol,negative,I,I-eval,5,30
America,home,I,I-cont,18,30
America,red white and blue,S,S-other,15,30
America,flag,S,S-obj,13,30
America,freedom,I,I-cont,13,30
America,country,T,T-sup,10,30
America,large,E,E-perc,10,30
America,eagle,S,S-obj,10,30
America,diversity,I,I-cont,8,30
America,patriotism,I,I-cont,8,30
America,native american,S,S-par,8,30
America,united states,T,T-syn,8,30
America,land,T,T-sup,7,30
America,democracy,I,I-cont,5,30
America,nationality,T,T-sup,5,30
America,president,S,S-par,5,30
America,obama,S,S-par,5,30
America,usa,T,T-syn,5,30
America,stars and stripes,S,S-other,5,30
animal,nature,E,E-whol,18,30
animal,pet,T,T-sub,15,30
animal,friend,I,I-cont,14,30
animal,dog,T,T-sub,14,30
animal,lion,T,T-sub,11,30
animal,cat,T,T-sub,9,30
