,cue,response,humanA1,humanA2,humanB1,humanB2,frequency
1,ability,agility,T,T-sub,T,T-sub,2
2,ability,capable,E,E-prop,E,E-prop,4
3,ability,talent,T,T-syn,T,T-syn,8
4,achievement,award,T,T-coord,S,S-obj,7
5,achievement,goal,E,E-prop,E,E-prop,10
6,achievement,success,T,T-syn,E,E-state,7
7,adventure,journey,S,S-time,S,S-time,2
8,adventure,trip,S,S-time,S,S-time,3
9,air,atmosphere,E,E-whole,E,E-whole,5
10,air,breath,S,S-action,S,S-action,4
11,air,breathe,S,S-action,S,S-action,13
12,airport,plane,S,S-obj,S,S-obj,13
13,airport,planes,S,S-obj,S,S-obj,4
14,airport,travel,S,S-action,S,S-action,9
15,alcohol,drink,T,T-super,S,S-action,8
16,alcohol,drunk,S,S-context,S,S-context,7
17,ambulance,hospital,S,S-loc,S,S-loc,9
18,ambulance,sick,S,S-context,S,S-context,2
19,ambulance,siren,E,E-comp,E,E-comp,10
20,ancestor,ancient,E,E-prop,E,E-prop,4
21,ancestor,family,E,E-whole,E,E-whole,9
22,ancestor,history,E,E-whole,E,E-whole,6
23,ancestor,old,E,E-prop,E,E-prop,10
24,ancestor,relative,T,T-super,E,E-prop,5
25,anchor,weight,E,E-prop,E,E-prop,8
26,apartment,home,T,T-super,T,T-super,9
27,apartment,house,T,T-syn,T,T-coord,7
28,apple,tree,E,E-whole,E,E-whole,7
29,army,green,S,S-context,S,S-context,5
30,army,military,E,E-whole,E,E-whole,4
31,army,navy,T,T-coord,T,T-coord,10
32,army,soldier,E,E-comp,S,S-agent,10
33,army,war,S,S-time,S,S-time,9
34,arrest,jail,S,S-loc,S,S-loc,9
35,arrest,stop,T,T-syn,T,T-syn,10
36,arrow,bow,S,S-obj,S,S-obj,20
37,arrow,head,E,E-comp,E,E-comp,3
38,arrow,straight,E,E-prop,E,E-state,4
39,art,beauty,I,I-contin,I,I-eval,3
40,art,craft,T,T-ant,T,T-ant,2
41,art,paint,S,S-obj,S,S-obj,6
42,art,picture,T,T-sub,T,T-sub,3
43,atom,molecule,E,E-whole,E,E-whole,6
