cue,response,relation
angles,triangle,PartOf
angles,triangle,PartOf
angles,triangle,PartOf
angles,triangle,PartOf
bright,light,HasProperty
bright,light,Synonym
bright,light,Synonym
casino,money,Function
casino,money,Function
casino,money,Function
casino,money,Function
casino,money,Function
chomp,eat,Action
chomp,eat,Action
chomp,eat,Action
chomp,eat,Action
contact,phone,Thematic
contact,phone,Thematic
contact,phone,Thematic
correction,fix,Has-Prerequisite
correction,fix,Has-Prerequisite
correction,fix,Synonym
cowgirl,boots,HasProperty
cowgirl,boots,HasProperty
cowgirl,boots,HasProperty
decipher,code,Action
decipher,code,Action
decipher,code,Action
decipher,code,Action
dinner,food,Material-MadeOf
dinner,food,Material-MadeOf
dinner,food,Material-MadeOf
dinner,food,Material-MadeOf
dinner,food,Material-MadeOf
disaster,hurricane,Category-Exemplar-Pairs
disaster,hurricane,Category-Exemplar-Pairs
disaster,hurricane,Category-Exemplar-Pairs
discriminate,race,Action
discriminate,race,Action
discriminate,race,Action
discuss,talk,Synonym
discuss,talk,Synonym
discuss,talk,Synonym
discuss,talk,Synonym
drinking,water,Common-Phrase
drinking,water,Common-Phrase
drinking,water,Common-Phrase
evidence,police,Location
evidence,police,Location
evidence,police,Location
exceed,expectations,Common-Phrase
exceed,expectations,Common-Phrase
exceed,expectations,Common-Phrase
forgive,forget,Antonym
forgive,forget,Antonym
forgive,forget,Antonym
forgive,forget,Antonym
forgive,forget,Antonym
gelatin,dessert,Result-In
gelatin,dessert,Result-In
gelatin,dessert,Result-In
greeter,hello,Action
greeter,hello,Action
greeter,hello,Action
group,people,PartOf
group,people,PartOf
group,people,PartOf
heaven,god,Location
heaven,god,Location
heaven,god,Location
hungry,food,Emotion-Evaluation
hungry,food,Emotion-Evaluation
hungry,food,Emotion-Evaluation
hungry,food,Emotion-Evaluation
hungry,food,Emotion-Evaluation
igloo,cold,HasProperty
igloo,cold,HasProperty
igloo,cold,HasProperty
igloo,cold,HasProperty
igloo,cold,HasProperty
igloo,cold,HasProperty
lesson,learn,Result-In
lesson,learn,Result-In
lesson,learn,Result-In
lesson,learn,Has-Prerequisite
