cue,response,relation,frequency
ability,capability,T-syn,1
absolute,sure,T-syn,1
adept,smart,E-prop,1
admiral,chief,T-coord,1
agent,person,S-them,1
agent,represent,S-func,1
agreeable,willing,T-syn,1
airport,runway,S-loc,1
amass,army,S-action,1
amass,collect,T-syn,1
amass,fortune,S-action,1
amiable,popular,S-result,1
amiable,warm,E-prop,1
anger,mad,T-syn,1
angles,triangle,E-part,3
appointment,early,S-time,1
appointment,late,S-time,1
appointment,time,S-time,1
attend,present,T-syn,1
attend,problem,S-action,1
awful,rude,T-syn,1
bagpipe,kilt,S-them,1
baked,fried,T-coord,1
baked,oven,S-loc,1
bastard,mean,E-prop,1
believable,trustworthy,T-syn,2
belong,group,I-emo,1
biblical,eden,S-them,1
bibliography,paper,E-part,1
bibliography,source,E-part,1
bibliography,title,E-part,1
blender,fruits,S-func,1
bodily,alive,E-prop,1
bodily,warm,E-prop,1
brave,tough,T-syn,1
break,crack,S-result,1
break,split,S-result,1
breath,gum,S-func,1
breath,inhale,S-action,1
breath,oxygen,S-result,1
bridge,drive,S-action,1
bright,light,E-prop,2
bright,smart,T-syn,3
bring,carry,T-cat,1
bring,share,S-result,1
bring,take,S-preq,1
broken,car,E-prop,1
brought,took,T-ant,1
bucket,wash,S-func,1
buddy,together,I-emo,1
bunch,bananas,S-them,1
bunch,grapes,S-them,1
bunch,roses,S-them,1
career,money,S-func,2
career,work,T-cat,1
careful,cautious,T-syn,1
careful,safe,T-syn,1
carnivore,prey,S-action,1
carrying,child,S-action,1
casino,money,S-loc,4
castle,huge,E-prop,1
castle,medieval,S-time,1
castle,stone,E-mat,1
catcher,ball,S-action,3
certain,sure,T-syn,1
champagne,beer,T-coord,1
champagne,celebration,S-loc,1
change,tire,S-action,1
chanting,crowd,S-action,3
charity,humanitarian,T-cat,1
chart,visual,E-prop,1
chase,run,T-cat,1
chase,seek,T-syn,1
cheap,frugal,T-syn,1
chicken,chicks,T-cat,1
cholesterol,high,E-prop,1
chomp,eat,T-cat,3
classy,elegant,T-syn,1
classy,stylist,T-syn,1
clean,neat,T-syn,3
clench,fist,S-action,2
client,courtesy,S-action,1
client,money,S-result,1
climber,health,E-prop,1
clock,time,S-func,8
closed,business,S-action,1
closed,window,S-action,1
clown,silly,E-prop,1
coach,leader,T-cat,1
coating,dusting,T-syn,1
comes,santa,S-action,1
commander,authority,E-prop,1
commander,ship,S-loc,1
comrade,friend,T-syn,5
conceive,surrogate,S-func,1
concerned,worried,T-syn,1
contact,phone,S-func,2
continue,persist,T-syn,1
contract,car,S-action,1
contract,enforceable,E-prop,1
conundrum,problem,T-cat,1
corner,street,E-part,1
corporation,money,S-func,1
correct,test,S-them,1
correction,fix,T-cat,1
correction,mistake,S-action,1
cosmopolitan,modern,T-syn,1
court,judge,S-loc,4
covered,discussed,T-syn,1
covered,umbrella,S-func,1
crazy,attack,S-result,1
crazy,girl,I-emo,1
curvy,sewing,S-them,1
curvy,shape,E-prop,4
danger,robot,S-them,1
darkness,light,T-ant,3
decipher,code,S-action,3
deflate,footballs,S-action,1
deluge,torrent,T-coord,1
design,pattern,E-prop,1
detective,columbo,S-them,1
different,same,T-ant,1
different,strange,T-syn,1
dilute,concentration,S-result,1
dinner,food,E-part,1
disaster,hurricane,T-cat,2
discourse,conversation,T-syn,1
discriminate,race,S-preq,1
discuss,talk,T-cat,2
dollar,cost,S-action,1
dollar,earn,S-action,1
domestic,home,T-syn,3
dominant,aggressive,E-prop,1
drinking,alcoholic,S-result,1
drinking,water,S-action,1
driving,permit,S-preq,1
dropping,accident,T-cat,1
drove,car,S-action,5
education,school,S-loc,1
education,teacher,S-func,1
elated,relief,S-result,1
elevated,high,T-syn,3
eliminate,gone,S-result,1
emergency,ambulance,S-result,1
enjoy,movie,I-emo,1
enjoy,music,I-emo,1
evidence,helpful,E-prop,1
evidence,police,S-action,2
evidence,proof,T-syn,1
exceed,speed,S-action,1
excellent,perfect,T-syn,1
faithful,committed,T-coord,1
faithful,respect,T-coord,1
favor,prefer,T-syn,4
flashlight,bright,E-prop,1
