cue,category,feature,relation,association,nWords,frequency
accordion,Musical instruments,joy,I-EMOT,joy,1,6
accordion,Musical instruments,music,S-FUNC,music,1,15
accordion,Musical instruments,party,S-EVENT,party,1,5
accordion,Musical instruments,tango,S-SOCART,tango,1,5
accordion,Musical instruments,has bellows,E-EXCOMP,bellows,1,7
accordion,Musical instruments,has keys,E-EXCOMP,keys,1,7
accordion,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,12
air balloon,Vehicles,is aerial,E-SYS,aerial,1,6
air balloon,Vehicles,height,S-LOC,height,1,5
air balloon,Vehicles,rises,E-BEH,rises,1,6
air balloon,Vehicles,used for flying,S-FUNC,flying,1,11
air balloon,Vehicles,used for traveling,S-FUNC,traveling,1,6
air balloon,Vehicles,different colors,E-EXSURF,colors,1,9
air balloon,Vehicles,has air,E-INCOMP,air,1,5
air balloon,Vehicles,has gas,E-INCOMP,gas,1,5
air balloon,Vehicles,has a basket,E-EXCOMP,basket,1,6
air balloon,Vehicles,a mean of transportation,T-SUPER,transportation,1,6
air balloon,Vehicles,found in the sky,S-TIME,sky,1,5
airplane,Vehicles,used for flying,S-FUNC,flying,1,5
airplane,Vehicles,used for traveling,S-FUNC,traveling,1,14
airplane,Vehicles,gives pleasure,I-EVAL,pleasure,1,5
anchor,Tools,is heavy,E-SYS,heavy,1,6
anchor,Tools,used by the sailor,S-PERSON,sailor,1,5
anchor,Tools,used for giving security,S-FUNC,security,1,5
anchor,Tools,used for holding a ship in a fixed place,S-FUNC,ship,1,11
anchor,Tools,water,E-INCOMP,water,1,6
anchor,Tools,made of iron,E-MAT,iron,1,8
anchor,Tools,found in the harbor,S-LOC,harbor,1,5
anchor,Tools,found in the sea,S-LOC,sea,1,13
anchor,Tools,found on the ship,S-LOC,ship,1,24
ant,Animals,bites,E-BEH,bites,1,6
ant,Animals,a bug,T-SUPER,bug,1,5
ant,Animals,is hardworking,E-SYS,hardworking,1,5
ant,Animals,an insect,T-SUPER,insect,1,7
ant,Animals,causes harm,I-EVAL,harm,1,7
anteater,Animals,an animal,T-SUPER,animal,1,15
anteater,Animals,is big,E-QUANT,big,1,6
anteater,Animals,eats ants,E-BEH,eats,1,18
anvil,Tools,used by the blacksmith,S-PERSON,blacksmith,1,7
anvil,Tools,hammer,S-OBJECT,hammer,1,6
anvil,Tools,is heavy,E-SYS,heavy,1,5
anvil,Tools,strength,S-ACTION,strength,1,6
anvil,Tools,a tool,T-SUPER,tool,1,10
anvil,Tools,work,E-SYS,work,1,10
