cue,response,humanA1,humanA2,humanB1,humanB2,frequency,model1,model2
ability,agility,T,T-sub,T,T-sub,2,T,T-syn
ability,capable,E,E-prop,E,E-prop,4,T,T-syn
ability,talent,T,T-syn,T,T-syn,8,T,T-syn
achievement,award,T,T-coord,S,S-obj,7,S,S-function
achievement,goal,E,E-prop,E,E-prop,10,T,T-syn
achievement,success,T,T-syn,E,E-state,7,T,T-syn
adventure,journey,S,S-time,S,S-time,2,T,T-syn
adventure,trip,S,S-time,S,S-time,3,T,T-syn
air,atmosphere,E,E-whole,E,E-whole,5,T,T-super
air,breath,S,S-action,S,S-action,4,S,S-action
air,breathe,S,S-action,S,S-action,13,S,S-action
airport,plane,S,S-obj,S,S-obj,13,S,S-loc
airport,planes,S,S-obj,S,S-obj,4,S,S-loc
airport,travel,S,S-action,S,S-action,9,S,S-function
alcohol,drink,T,T-super,S,S-action,8,S,S-action
alcohol,drunk,S,S-context,S,S-context,7,S,S-targetstate
ambulance,hospital,S,S-loc,S,S-loc,9,S,S-loc
ambulance,sick,S,S-context,S,S-context,2,S,S-function
ambulance,siren,E,E-comp,E,E-comp,10,E,E-comp
ancestor,ancient,E,E-prop,E,E-prop,4,E,E-prop
ancestor,family,E,E-whole,E,E-whole,9,T,T-super
ancestor,history,E,E-whole,E,E-whole,6,S,S-time
ancestor,old,E,E-prop,E,E-prop,10,E,E-prop
ancestor,relative,T,T-super,E,E-prop,5,T,T-super
anchor,weight,E,E-prop,E,E-prop,8,E,E-prop
apartment,home,T,T-super,T,T-super,9,T,T-syn
apartment,house,T,T-syn,T,T-coord,7,T,T-coord
apple,tree,E,E-whole,E,E-whole,7,E,E-whole
army,green,S,S-context,S,S-context,5,S,S-context
army,military,E,E-whole,E,E-whole,4,T,T-syn
army,navy,T,T-coord,T,T-coord,10,T,T-coord
army,soldier,E,E-comp,S,S-agent,10,T,T-sub
army,war,S,S-time,S,S-time,9,S,S-obj
arrest,jail,S,S-loc,S,S-loc,9,S,S-loc
arrest,stop,T,T-syn,T,T-syn,10,T,T-syn
arrow,bow,S,S-obj,S,S-obj,20,S,S-obj
arrow,head,E,E-comp,E,E-comp,3,E,E-comp
arrow,straight,E,E-prop,E,E-state,4,E,E-prop
art,beauty,I,I-contin,I,I-eval,3,I,I-eval
art,craft,T,T-ant,T,T-ant,2,T,T-coord
art,paint,S,S-obj,S,S-obj,6,S,S-obj
art,picture,T,T-sub,T,T-sub,3,T,T-syn
atom,molecule,E,E-whole,E,E-whole,6,T,T-super
atom,particle,T,T-super,E,E-comp,3,T,T-syn
atom,science,I,I-contin,E,E-whole,8,S,S-obj
attack,defend,T,T-ant,T,T-ant,5,T,T-ant
attack,fight,T,T-coord,E,E-beh,9,T,T-syn
attack,hit,T,T-coord,S,S-action,3,T,T-syn
attitude,bad,E,E-state,E,E-state,7,E,E-state
attitude,good,E,E-state,E,E-state,3,E,E-state
audience,applause,E,E-beh,S,S-action,5,S,S-action
audience,clap,E,E-beh,S,S-action,4,S,S-action
audience,clapping,E,E-beh,S,S-action,3,E,E-beh
audience,crowd,T,T-syn,E,E-prop,7,T,T-syn
aunt,family,T,T-super,E,E-whole,7,T,T-super
aunt,relative,T,T-super,E,E-comp,3,T,T-super
aunt,uncle,T,T-coord,T,T-coord,24,T,T-coord
aunt,woman,E,E-prop,E,E-prop,4,T,T-super
author,write,E,E-beh,E,E-beh,2,S,S-action
author,writer,T,T-sub,E,E-comp,20,T,T-syn
balance,beam,S,S-obj,S,S-obj,8,S,S-obj
ball,bat,S,S-obj,S,S-obj,5,S,S-obj
ball,game,S,S-time,E,E-whole,5,S,S-obj
ball,play,S,S-action,S,S-action,5,S,S-action
ballet,dance,T,T-coord,T,T-super,18,S,S-action
ballet,dancer,S,S-agent,S,S-agent,2,S,S-agent
balloon,air,E,E-comp,S,S-loc,7,E,E-comp
balloon,ball,T,T-coord,T,T-super,3,T,T-syn
balloon,pop,S,S-action,S,S-action,6,E,E-beh
balloon,red,E,E-prop,S,S-context,8,E,E-prop
bamboo,panda,S,S-agent,S,S-agent,16,S,S-obj
bamboo,shoot,E,E-prop,E,E-comp,3,E,E-comp
bamboo,tree,T,T-super,T,T-super,3,T,T-syn
bamboo,wood,E,E-comp,E,E-comp,7,E,E-comp
bandage,Band-Aid,T,T-sub,T,T-sub,9,T,T-syn
bandage,cut,S,S-action,S,S-obj,7,S,S-function
bandage,injury,S,S-obj,S,S-obj,4,S,S-function
baseball,ball,S,S-obj,S,S-obj,4,E,E-comp
baseball,bat,S,S-obj,S,S-obj,16,E,E-comp
basement,attic,T,T-ant,T,T-ant,2,T,T-coord
basement,cold,E,E-prop,S,S-targetstate,5,E,E-prop
basement,dark,E,E-prop,S,S-targetstate,8,E,E-prop
basement,house,E,E-whole,S,S-loc,3,E,E-whole
basketball,game,T,T-super,E,E-comp,5,T,T-super
basketball,hoop,S,S-obj,S,S-obj,7,S,S-obj
bat,ball,S,S-obj,S,S-obj,10,S,S-obj
bat,baseball,S,S-action,S,S-obj,11,S,S-obj
beach,ball,S,S-obj,S,S-obj,4,S,S-obj
beach,ocean,S,S-loc,S,S-obj,7,S,S-loc
beach,sand,E,E-comp,S,S-obj,27,E,E-comp
beach,sea,S,S-loc,S,S-obj,4,S,S-loc
bear,big,E,E-prop,E,E-state,2,E,E-prop
bear,cub,T,T-sub,T,T-sub,3,T,T-sub
beast,monster,T,T-sub,T,T-sub,8,T,T-syn
bed,mattress,E,E-comp,S,S-obj,4,E,E-comp
bed,rest,S,S-function,S,S-function,3,S,S-function
bee,honey,S,S-obj,T,T-sub,18,E,E-beh
bee,sting,E,E-beh,S,S-action,9,E,E-beh
beef,cow,E,E-whole,E,E-whole,20,E,E-whole
beef,steak,T,T-sub,T,T-sub,7,T,T-syn
beer,ale,T,T-sub,T,T-sub,6,T,T-syn
beer,bottle,S,S-loc,S,S-loc,3,E,E-whole
beer,drink,T,T-super,S,S-action,7,S,S-action
beer,drunk,S,S-context,S,S-context,3,S,S-action
bikini,beach,S,S-loc,S,S-loc,14,S,S-loc
bikini,swimsuit,T,T-super,T,T-super,6,T,T-syn
bikini,wax,S,S-action,S,S-action,2,S,S-obj
blood,gore,I,I-contin,S,S-obj,2,T,T-coord
blood,guts,T,T-coord,S,S-obj,3,E,E-comp
blood,red,E,E-prop,E,E-prop,17,E,E-prop
blood,relative,I,I-contin,I,I-contin,3,S,S-obj
body,human,T,T-sub,T,T-sub,3,T,T-super
body,soul,T,T-ant,T,T-ant,4,I,I-contin
