cue,response,frequency,model1,model2,human1,human2
ability,capability,1,T,T-syn,T,T-syn
absolute,sure,1,T,T-syn,T,T-syn
adept,smart,1,T,T-syn,E,E-prop
admiral,chief,1,T,T-syn,T,T-coord
agent,person,1,T,T-cat,S,S-them
agent,represent,1,S,S-action,S,S-func
agreeable,willing,1,T,T-syn,T,T-syn
airport,runway,1,E,E-part,S,S-loc
amass,army,1,S,S-action,S,S-action
amass,collect,1,T,T-syn,T,T-syn
amass,fortune,1,S,S-result,S,S-action
amiable,popular,1,T,T-syn,S,S-result
amiable,warm,1,T,T-syn,E,E-prop
anger,mad,1,T,T-syn,T,T-syn
angles,triangle,3,E,E-part,E,E-part
appointment,early,1,S,S-time,S,S-time
appointment,late,1,S,S-result,S,S-time
appointment,time,1,S,S-time,S,S-time
attend,present,1,S,S-action,T,T-syn
attend,problem,1,S,S-action,S,S-action
awful,rude,1,T,T-syn,T,T-syn
bagpipe,kilt,1,S,S-them,S,S-them
baked,fried,1,T,T-ant,T,T-coord
baked,oven,1,S,S-loc,S,S-loc
bastard,mean,1,T,T-syn,E,E-prop
believable,trustworthy,2,T,T-syn,T,T-syn
belong,group,1,S,S-action,I,I-emo
biblical,eden,1,S,S-loc,S,S-them
bibliography,paper,1,E,E-part,E,E-part
bibliography,source,1,S,S-func,E,E-part
bibliography,title,1,E,E-part,E,E-part
blender,fruits,1,S,S-func,S,S-func
bodily,alive,1,E,E-prop,E,E-prop
bodily,warm,1,E,E-prop,E,E-prop
brave,tough,1,T,T-syn,T,T-syn
break,crack,1,T,T-syn,S,S-result
break,split,1,T,T-syn,S,S-result
breath,gum,1,S,S-them,S,S-func
breath,inhale,1,S,S-action,S,S-action
breath,oxygen,1,E,E-part,S,S-result
bridge,drive,1,S,S-loc,S,S-action
bright,light,2,E,E-prop,E,E-prop
bright,smart,3,T,T-syn,T,T-syn
bring,carry,1,T,T-syn,T,T-cat
bring,share,1,S,S-action,S,S-result
bring,take,1,T,T-syn,S,S-preq
broken,car,1,S,S-them,E,E-prop
brought,took,1,T,T-syn,T,T-ant
bucket,wash,1,S,S-func,S,S-func
buddy,together,1,S,S-them,I,I-emo
bunch,bananas,1,E,E-part,S,S-them
bunch,grapes,1,E,E-part,S,S-them
bunch,roses,1,T,T-coord,S,S-them
career,money,2,S,S-result,S,S-func
career,work,1,T,T-syn,T,T-cat
careful,cautious,1,T,T-syn,T,T-syn
careful,safe,1,T,T-syn,T,T-syn
carnivore,prey,1,T,T-cat,S,S-action
carrying,child,1,S,S-action,S,S-action
casino,money,4,S,S-them,S,S-loc
castle,huge,1,E,E-prop,E,E-prop
castle,medieval,1,S,S-loc,S,S-time
castle,stone,1,E,E-mat,E,E-mat
catcher,ball,3,S,S-func,S,S-action
certain,sure,1,T,T-syn,T,T-syn
champagne,beer,1,T,T-coord,T,T-coord
champagne,celebration,1,S,S-them,S,S-loc
change,tire,1,S,S-action,S,S-action
chanting,crowd,3,S,S-them,S,S-action
charity,humanitarian,1,T,T-coord,T,T-cat
chart,visual,1,E,E-prop,E,E-prop
chase,run,1,S,S-action,T,T-cat
chase,seek,1,T,T-syn,T,T-syn
cheap,frugal,1,T,T-syn,T,T-syn
chicken,chicks,1,E,E-part,T,T-cat
cholesterol,high,1,E,E-prop,E,E-prop
chomp,eat,3,T,T-syn,T,T-cat
classy,elegant,1,T,T-syn,T,T-syn
classy,stylist,1,S,S-them,T,T-syn
clean,neat,3,T,T-syn,T,T-syn
clench,fist,2,S,S-action,S,S-action
client,courtesy,1,S,S-them,S,S-action
client,money,1,S,S-them,S,S-result
climber,health,1,S,S-them,E,E-prop
clock,time,8,E,E-prop,S,S-func
closed,business,1,S,S-them,S,S-action
closed,window,1,S,S-them,S,S-action
clown,silly,1,E,E-prop,E,E-prop
coach,leader,1,T,T-syn,T,T-cat
coating,dusting,1,S,S-action,T,T-syn
comes,santa,1,S,S-them,S,S-action
commander,authority,1,E,E-prop,E,E-prop
commander,ship,1,S,S-loc,S,S-loc
comrade,friend,5,T,T-syn,T,T-syn
conceive,surrogate,1,S,S-preq,S,S-func
concerned,worried,1,T,T-syn,T,T-syn
contact,phone,2,S,S-action,S,S-func
continue,persist,1,T,T-syn,T,T-syn
contract,car,1,S,S-them,S,S-action
contract,enforceable,1,E,E-prop,E,E-prop
conundrum,problem,1,T,T-syn,T,T-cat
corner,street,1,S,S-loc,E,E-part
corporation,money,1,S,S-them,S,S-func
correct,test,1,S,S-action,S,S-them
correction,fix,1,T,T-syn,T,T-cat
correction,mistake,1,S,S-result,S,S-action
cosmopolitan,modern,1,T,T-syn,T,T-syn
court,judge,4,S,S-loc,S,S-loc
covered,discussed,1,T,T-syn,T,T-syn
covered,umbrella,1,S,S-result,S,S-func
crazy,attack,1,S,S-them,S,S-result
crazy,girl,1,S,S-them,I,I-emo
curvy,sewing,1,S,S-them,S,S-them
curvy,shape,4,E,E-prop,E,E-prop
danger,robot,1,S,S-them,S,S-them
darkness,light,3,T,T-ant,T,T-ant
decipher,code,3,S,S-action,S,S-action
deflate,footballs,1,S,S-action,S,S-action
deluge,torrent,1,T,T-syn,T,T-coord
design,pattern,1,T,T-syn,E,E-prop
detective,columbo,1,T,T-coord,S,S-them
different,same,1,T,T-ant,T,T-ant
different,strange,1,T,T-syn,T,T-syn
dilute,concentration,1,S,S-result,S,S-result
dinner,food,1,T,T-cat,E,E-part
disaster,hurricane,2,T,T-coord,T,T-cat
discourse,conversation,1,T,T-syn,T,T-syn
discriminate,race,1,S,S-action,S,S-preq
discuss,talk,2,T,T-syn,T,T-cat
dollar,cost,1,S,S-them,S,S-action
dollar,earn,1,S,S-them,S,S-action
domestic,home,3,T,T-syn,T,T-syn
