cue,category,response,nWords,frequency,human1,human2,model1,model2
accordion,Musical instruments,joy,1,6,I,I-EMOT,I,I-EMOT
accordion,Musical instruments,music,1,15,S,S-FUNC,S,S-FUNC
accordion,Musical instruments,party,1,5,S,S-EVENT,S,S-EVENT
accordion,Musical instruments,tango,1,5,S,S-SOCART,S,S-EVENT
accordion,Musical instruments,bellows,1,7,E,E-EXCOMP,E,E-EXCOMP
accordion,Musical instruments,keys,1,7,E,E-EXCOMP,E,E-EXCOMP
accordion,Musical instruments,musical instrument,2,12,T,T-SUPER,T,T-SUPER
air balloon,Vehicles,aerial,1,6,E,E-SYS,S,S-ACTION
air balloon,Vehicles,height,1,5,S,S-LOC,S,S-LOC
air balloon,Vehicles,rises,1,6,E,E-BEH,E,E-BEH
air balloon,Vehicles,flying,1,11,S,S-FUNC,S,S-FUNC
air balloon,Vehicles,traveling,1,6,S,S-FUNC,S,S-FUNC
air balloon,Vehicles,colors,1,9,E,E-EXSURF,E,E-EXSURF
air balloon,Vehicles,air,1,5,E,E-INCOMP,S,S-LOC
air balloon,Vehicles,gas,1,5,E,E-INCOMP,E,E-MAT
air balloon,Vehicles,basket,1,6,E,E-EXCOMP,E,E-EXCOMP
air balloon,Vehicles,transportation,1,6,T,T-SUPER,S,S-FUNC
air balloon,Vehicles,sky,1,5,S,S-TIME,S,S-LOC
airplane,Vehicles,flying,1,5,S,S-FUNC,S,S-ACTION
airplane,Vehicles,traveling,1,14,S,S-FUNC,S,S-EVENT
airplane,Vehicles,pleasure,1,5,I,I-EVAL,I,I-EMOT
anchor,Tools,heavy,1,6,E,E-SYS,E,E-SYS
anchor,Tools,sailor,1,5,S,S-PERSON,S,S-PERSON
anchor,Tools,security,1,5,S,S-FUNC,S,S-FUNC
anchor,Tools,ship,1,11,S,S-FUNC,E,E-WHOLE
anchor,Tools,water,1,6,E,E-INCOMP,S,S-LOC
anchor,Tools,iron,1,8,E,E-MAT,E,E-MAT
anchor,Tools,harbor,1,5,S,S-LOC,S,S-LOC
anchor,Tools,sea,1,13,S,S-LOC,S,S-LOC
anchor,Tools,ship,1,24,S,S-LOC,E,E-WHOLE
ant,Animals,bites,1,6,E,E-BEH,E,E-BEH
ant,Animals,bug,1,5,T,T-SUPER,T,T-SYN
ant,Animals,hardworking,1,5,E,E-SYS,E,E-BEH
ant,Animals,insect,1,7,T,T-SUPER,T,T-SYN
ant,Animals,harm,1,7,I,I-EVAL,E,E-BEH
anteater,Animals,animal,1,15,T,T-SUPER,T,T-SUPER
anteater,Animals,big,1,6,E,E-QUANT,E,E-QUANT
anteater,Animals,eats,1,18,E,E-BEH,E,E-BEH
anvil,Tools,blacksmith,1,7,S,S-PERSON,S,S-PERSON
anvil,Tools,hammer,1,6,S,S-OBJECT,S,S-OBJECT
anvil,Tools,heavy,1,5,E,E-SYS,E,E-SYS
anvil,Tools,strength,1,6,S,S-ACTION,E,E-SYS
anvil,Tools,tool,1,10,T,T-SUPER,T,T-SUPER
anvil,Tools,work,1,10,E,E-SYS,S,S-FUNC
anvil,Tools,iron,1,13,E,E-MAT,E,E-MAT
apple,Fruits,eaten,1,6,S,S-ACTION,S,S-ACTION
apple,Fruits,fruit,1,11,T,T-SUPER,T,T-SUPER
apple,Fruits,green,1,8,T,T-SUBORD,E,E-EXSURF
apple,Fruits,red,1,8,T,T-SUBORD,E,E-EXSURF
apple,Fruits,vitamins,1,5,E,E-INCOMP,E,E-SYS
apple,Fruits,good,1,13,I,I-EVAL,I,I-EVAL
arch,Constructions,door,1,5,T,T-SYN,E,E-WHOLE
arch,Constructions,entrance,1,7,S,S-LOC,S,S-LOC
arm,Body parts,body,1,9,E,E-WHOLE,E,E-WHOLE
arm,Body parts,hugging,1,7,S,S-FUNC,S,S-ACTION
arm,Body parts,pointing,1,5,S,S-FUNC,S,S-ACTION
arm,Body parts,useful,1,6,I,I-EVAL,E,E-SYS
armadillo,Animals,animal,1,17,T,T-SUPER,T,T-ONT
armadillo,Animals,eaten,1,6,S,S-ACTION,S,S-ACTION
armadillo,Animals,furry,1,5,E,E-EXSURF,E,E-EXSURF
armadillo,Animals,small,1,5,E,E-QUANT,E,E-SYS
armadillo,Animals,good,1,5,I,I-EVAL,I,I-EVAL
armadillo,Animals,shell,1,11,E,E-EXCOMP,E,E-EXCOMP
armadillo,Animals,hole,1,6,S,S-LOC,S,S-LOC
armadillo,Animals,countryside,1,14,S,S-LOC,S,S-LOC
arrow,Weapons,hunting,1,10,S,S-FUNC,S,S-FUNC
arrow,Weapons,weapon,1,9,T,T-SUPER,T,T-SUPER
arrow,Weapons,native people,2,9,S,S-PERSON,S,S-PERSON
arrow,Weapons,bow,1,7,S,S-OBJECT,S,S-OBJECT
artichoke,Vegetables,eaten,1,11,S,S-ACTION,S,S-ACTION
