cue,category,response,nWords,frequency,human1,human2,model1,model2
accordion,Musical instruments,joy,1,6,I,I-EMOT,I,I-EMOT
accordion,Musical instruments,music,1,15,S,S-FUNC,S,S-FUNC
accordion,Musical instruments,party,1,5,S,S-EVENT,S,S-EVENT
accordion,Musical instruments,tango,1,5,S,S-SOCART,S,S-EVENT
accordion,Musical instruments,has bellows,1,7,E,E-EXCOMP,E,E-EXCOMP
accordion,Musical instruments,has keys,1,7,E,E-EXCOMP,E,E-EXCOMP
accordion,Musical instruments,a musical instrument,2,12,T,T-SUPER,T,T-SYN
air balloon,Vehicles,is aerial,1,6,E,E-SYS,E,E-SYS
air balloon,Vehicles,height,1,5,S,S-LOC,S,S-SPAT
air balloon,Vehicles,rises,1,6,E,E-BEH,E,E-BEH
air balloon,Vehicles,used for flying,1,11,S,S-FUNC,S,S-FUNC
air balloon,Vehicles,used for traveling,1,6,S,S-FUNC,S,S-FUNC
air balloon,Vehicles,different colors,1,9,E,E-EXSURF,E,E-EXSURF
air balloon,Vehicles,has air,1,5,E,E-INCOMP,E,E-INCOMP
air balloon,Vehicles,has gas,1,5,E,E-INCOMP,E,E-INCOMP
air balloon,Vehicles,has a basket,1,6,E,E-EXCOMP,E,E-EXCOMP
air balloon,Vehicles,a mean of transportation,1,6,T,T-SUPER,S,S-FUNC
air balloon,Vehicles,found in the sky,1,5,S,S-TIME,S,S-LOC
airplane,Vehicles,used for flying,1,5,S,S-FUNC,S,S-FUNC
airplane,Vehicles,used for traveling,1,14,S,S-FUNC,S,S-FUNC
airplane,Vehicles,gives pleasure,1,5,I,I-EVAL,I,I-EMOT
anchor,Tools,is heavy,1,6,E,E-SYS,E,E-SYS
anchor,Tools,used by the sailor,1,5,S,S-PERSON,S,S-PERSON
anchor,Tools,used for giving security,1,5,S,S-FUNC,S,S-FUNC
anchor,Tools,used for holding a ship in a fixed place,1,11,S,S-FUNC,S,S-FUNC
anchor,Tools,water,1,6,E,E-INCOMP,S,S-LOC
anchor,Tools,made of iron,1,8,E,E-MAT,E,E-MAT
anchor,Tools,found in the harbor,1,5,S,S-LOC,S,S-LOC
anchor,Tools,found in the sea,1,13,S,S-LOC,S,S-LOC
anchor,Tools,found on the ship,1,24,S,S-LOC,S,S-LOC
ant,Animals,bites,1,6,E,E-BEH,E,E-BEH
ant,Animals,a bug,1,5,T,T-SUPER,T,T-SYN
ant,Animals,is hardworking,1,5,E,E-SYS,E,E-BEH
ant,Animals,an insect,1,7,T,T-SUPER,T,T-ONT
ant,Animals,causes harm,1,7,I,I-EVAL,E,E-BEH
anteater,Animals,an animal,1,15,T,T-SUPER,T,T-ONT
anteater,Animals,is big,1,6,E,E-QUANT,E,E-SYS
anteater,Animals,eats ants,1,18,E,E-BEH,E,E-BEH
anvil,Tools,used by the blacksmith,1,7,S,S-PERSON,S,S-FUNC
anvil,Tools,hammer,1,6,S,S-OBJECT,S,S-OBJECT
anvil,Tools,is heavy,1,5,E,E-SYS,E,E-SYS
anvil,Tools,strength,1,6,S,S-ACTION,E,E-SYS
anvil,Tools,a tool,1,10,T,T-SUPER,T,T-ONT
anvil,Tools,work,1,10,E,E-SYS,S,S-FUNC
anvil,Tools,made of iron,1,13,E,E-MAT,E,E-MAT
apple,Fruits,is eaten,1,6,S,S-ACTION,E,E-BEH
apple,Fruits,a fruit,1,11,T,T-SUPER,T,T-SUPER
apple,Fruits,eg - green,1,8,T,T-SUBORD,E,E-EXSURF
apple,Fruits,eg - red,1,8,T,T-SUBORD,E,E-EXSURF
apple,Fruits,has vitamins,1,5,E,E-INCOMP,E,E-INCOMP
apple,Fruits,tastes good,1,13,I,I-EVAL,I,I-EMOT
arch,Constructions,door,1,5,T,T-SYN,T,T-SUBORD
arch,Constructions,found in the entrance,1,7,S,S-LOC,S,S-LOC
arm,Body parts,a part of the body,1,9,E,E-WHOLE,E,E-EXCOMP
arm,Body parts,used for hugging,1,7,S,S-FUNC,S,S-ACTION
arm,Body parts,used for pointing,1,5,S,S-FUNC,S,S-ACTION
arm,Body parts,is useful,1,6,I,I-EVAL,E,E-SYS
armadillo,Animals,an animal,1,17,T,T-SUPER,T,T-ONT
armadillo,Animals,is eaten,1,6,S,S-ACTION,S,S-FUNC
armadillo,Animals,is furry,1,5,E,E-EXSURF,E,E-EXSURF
armadillo,Animals,is small,1,5,E,E-QUANT,E,E-QUANT
armadillo,Animals,tastes good,1,5,I,I-EVAL,E,E-INSURF
armadillo,Animals,has a shell,1,11,E,E-EXCOMP,E,E-EXCOMP
armadillo,Animals,lives in a hole,1,6,S,S-LOC,S,S-LOC
armadillo,Animals,lives in the countryside,1,14,S,S-LOC,S,S-LOC
arrow,Weapons,used for hunting,1,10,S,S-FUNC,S,S-FUNC
arrow,Weapons,a weapon,1,9,T,T-SUPER,T,T-ONT
